rank,player_name,composite_score
689,RW Chakabva,1.0041
690,V Sukumaran,1.004
691,UC Hathurusingha,1.0025
692,MA Carberry,1.0013
694,J Mubarak,1.0002
694,PG Fulton,1.0002
694,Mohammad Ishaq,1.0002
696,I Kaia,0.9992
697,WIA Fernando,0.9988
698,K Weeraratne,0.9987
699,GM Hamilton,0.9984
700,CM Spearman,0.9947
701,AR Cusack,0.9945
702,Asif Mujtaba,0.9939
703,MD Moxon,0.9933
704,WD Parnell,0.9932
704,WV Raman,0.9932
706,Javed Ahmadi,0.993
707,JAH Marshall,0.9929
708,DM Wellham,0.9923
709,R Mutumbami,0.9921
709,DA Gunawardene,0.9921
711,TJ Friend,0.992
712,D Parashar,0.9902
713,MD Shanaka,0.9894
714,JN Mohammed,0.9888
715,DS Bajwa,0.9887
716,DL Vettori,0.9883
717,B Lee,0.9878
718,Anamul Haque,0.9876
719,ML Udawatte,0.9871
720,NT Broom,0.987
721,W Madhevere,0.9862
722,MD Dai,0.985
723,SP Patil,0.9846
724,PL Taylor,0.9844
725,T Munyonga,0.9828
726,UDU Chandana,0.9821
727,DDP D'Silva,0.982
728,RE van der Merwe,0.9814
729,Tanwir Afzal,0.981
729,MJ Potts,0.981
731,DE Budge,0.9804
732,NK Patel,0.9791
733,AM Bacher,0.9789
734,PS Athavale,0.9781
735,TN de Grooth,0.9752
736,Nazimuddin,0.9724
737,Naved-ul-Hasan,0.9716
738,GSNFG Jayasuriya,0.9714
739,JH Davey,0.9712
740,Aryan Lakra,0.9685
740,J Botha,0.9685
742,NR Mongia,0.966
743,Haseeb Amjad,0.9657
744,Mohammad Nawaz (3),0.9656
745,GI Hume,0.9651
746,Karan KC,0.9636
747,DJ Richardson,0.9635
748,Faheem Ashraf,0.9621
749,N Deonarine,0.9617
750,Afsar Zazai,0.961
751,B Bhandari,0.9609
752,CJ Bowes,0.9607
753,CJ Chibhabha,0.9585
754,L Siaka,0.9576
755,Imrul Kayes,0.9573
756,JM How,0.9568
757,J Fraser-McGurk,0.9552
758,RC Russell,0.9545
759,W Larkins,0.9543
760,AJ Bichel,0.9534
761,R Trumpelmann,0.9526
762,DAJ Bracewell,0.9523
763,Javed Omar,0.9522
764,S Muthusamy,0.952
765,T van der Gugten,0.9516
765,Aizaz Khan,0.9516
767,SR Thompson,0.9505
768,OJ Hairs,0.9499
769,JM Brearley,0.9451
770,Zawar Farid,0.944
771,WP Saha,0.9439
772,KA Jamieson,0.9437
773,FA Allen,0.9436
774,XM Marshall,0.943
775,J Overton,0.9426
776,NM Coulter-Nile,0.9398
777,Aayan Afzal Khan,0.9396
778,Umar Amin,0.9387
779,Shamsur Rahman,0.9383
780,DD Ebrahim,0.9365
781,JM Davison,0.9364
782,Amjad Ali,0.9363
783,Mohammad Naveed,0.936
784,TE Blain,0.9354
785,GJ Rennie,0.9344
786,WW Hinds,0.934
786,Waheed Ahmed,0.934
788,Hasan Raza,0.9324
789,AS Hansra,0.9313
790,Mohammad Aadil Alam,0.9304
791,LR Johnson,0.9291
792,NFI McCallum,0.9275
793,Mohammad Naim,0.9273
794,T Marumani,0.926
795,CR Brathwaite,0.9251
796,Mansoor Akhtar,0.9234
797,ADS Fletcher,0.9232
798,PR Reiffel,0.9231
799,Zulfiqar Babar,0.9227
800,MD Bell,0.9212
801,HDPK Dharmasena,0.9201
802,AF Giles,0.9189
803,SB Joshi,0.9188
804,C Overton,0.9183
805,MG Johnson,0.9175
806,CS Baugh,0.9153
807,OAC Banks,0.9151
808,Tanzim Hasan Sakib,0.9142
809,H Hiri,0.9136
810,TK Musakanda,0.9104
811,Sompal Kami,0.9102
812,Hasan Ali,0.9099
813,Mohammad Mithun,0.9091
814,S Dhaniram,0.909
815,NL McCullum,0.9086
816,D Myers,0.9085
817,C White,0.9074
818,MV Nagamootoo,0.9053
819,CC Lewis,0.9029
820,Wasim Ali,0.9015
820,LM Jongwe,0.9015
822,RS Kalpage,0.9006
823,CA Pujara,0.8999
824,S Prasanna,0.8991
824,Hannan Sarkar,0.8991
826,Fayyaz Butt,0.898
827,ZB Lion-Cachet,0.8979
828,MRJ Watt,0.8972
829,KD Shah,0.8939
830,GD Elliott,0.8927
831,AL Phehlukwayo,0.8923
832,GM Strydom,0.8907
833,Zahid Fazal,0.8902
834,Simi Singh,0.8887
835,MC Henriques,0.8886
836,WPUJC Vaas,0.8882
837,KTGD Prasad,0.8876
838,S Jora,0.8869
839,Khaled Mashud,0.8864
840,SS McKechnie,0.8861
841,Harbhajan Singh,0.8856
842,TS Kamunhukamwe,0.8855
843,AC Botha,0.885
844,Irfan Khan,0.8849
845,CMW Read,0.8842
846,JL Ontong,0.8835
847,CA Soper,0.8834
848,Raqibul Hasan,0.883
849,Shoaib Khan,0.8824
850,SM Sharif,0.8822
850,AJ Hosein,0.8822
852,TG Southee,0.8818
852,Akram Khan,0.8818
854,Shahriar Hossain,0.8814
855,J Kila,0.88
856,JG Bracewell,0.8797
857,Sohag Gazi,0.8786
858,RG Aga,0.8785
859,K Doriga,0.8783
860,DJ Nash,0.8773
860,HR Walsh,0.8773
862,DR Flynn,0.877
863,Aminul Islam,0.8769
864,Rishad Hossain,0.8736
865,JA McCollum,0.8723
866,CJO Smith,0.8713
867,DP Hyatt,0.8694
868,Azam Khan,0.8684
869,A Nao,0.8683
870,Mohammad Rafique,0.8682
871,MA Wood,0.867
872,TB Sole,0.8669
873,MA Ealham,0.8664
873,RO Hinds,0.8664
875,VD Philander,0.8642
876,AH Omarshah,0.8641
877,NM Lyon,0.864
878,DT Tiripano,0.8638
879,DLS van Bunge,0.8637
880,SW Poynter,0.8633
881,Mashrafe Mortaza,0.8629
882,GM Ewing,0.8628
882,KM Dabengwa,0.8628
884,Waqas Khan,0.8626
885,JC Archer,0.8625
886,FC Hayes,0.8623
887,JE Emburey,0.8616
888,MO Jones,0.8612
889,Aamir Kaleem,0.8593
890,U Bhatti,0.8588
891,Yasir Shah,0.858
892,Sufyan Mehmood,0.8574
893,CJ Jordan,0.8557
894,DR Pringle,0.8556
895,Ziaur Rahman,0.8549
896,PAJ DeFreitas,0.8542
897,Shamim Hossain,0.854
898,AB Agarkar,0.8533
899,Shakeel Ahmed,0.8522
899,AS Joseph,0.8522
901,CD Cumming,0.8504
902,AJ Tye,0.8493
903,AC Cummins,0.8483
904,Shahid Nazir,0.8472
905,Yasir Arafat,0.8463
906,Al Sahariar,0.8461
907,TM Odoyo,0.8452
908,Naimur Rahman,0.8451
909,Shahid Wasif,0.8448
910,S Shrivastava,0.8421
911,K Pierre,0.8419
912,T Kaitano,0.8404
913,Sohail Tanvir,0.8381
914,Ijaz Faqih,0.838
915,PM Seelaar,0.8379
916,Mehrab Hossain,0.8376
917,AFG Griffith,0.8375
918,RP Snell,0.837
919,RWT Key,0.8367
920,CO Browne,0.8366
920,NS Poonia,0.8366
922,Nangeyalia Kharote,0.8361
923,BR Hartland,0.8356
924,BA Carse,0.8346
925,Sandeep Goud,0.8337
926,SB Doull,0.8326
927,S Elworthy,0.8323
928,Alok Kapali,0.8321
929,SK Warne,0.8313
930,RJ Harris,0.8307
931,Saqib Zulfiqar,0.8291
932,PJ Wiseman,0.8283
933,PR Downton,0.8271
934,Rehan Ahmed,0.8265
935,Dawlat Zadran,0.826
936,JD Nel,0.8259
937,MDK Perera,0.8249
938,BP Julian,0.824
939,RP Burl,0.8226
940,CT Mutombodzi,0.8224
941,DJ Capel,0.8219
942,RC Irani,0.8217
943,JTC Vaughan,0.8202
944,Nasum Ahmed,0.8198
945,K Rabada,0.8196
945,SP Khakurel,0.8196
947,LA Dawson,0.8192
948,SR Clark,0.8181
949,Jay Odedra,0.8179
950,AIC Dodemaide,0.8177
951,JA Richardson,0.8176
952,Mirwais Ashraf,0.8174
953,Mohammad Haris,0.8166
954,MJ McClenaghan,0.8164
955,PJ Cummins,0.8159
956,DW Fleming,0.8156
957,Mahedi Hasan,0.814
958,LE Plunkett,0.8129
959,MA Starc,0.811
960,Akram Raza,0.8098
961,SA Abbott,0.8083
962,DN Patel,0.8077
963,T Panyangara,0.8071
964,JL Pattinson,0.8066
965,Junaid Siddique,0.8062
966,RM Haq,0.8029
967,SS Pathirana,0.8015
968,MW Pringle,0.8003
969,S Matsikenyeri,0.7992
970,JS Foster,0.7991
971,VV Morea,0.7974
972,MF Maharoof,0.797
973,AU Rashid,0.7965
974,Irfan Ahmed,0.7957
975,KMDN Kulasekara,0.7935
976,BGK Walker,0.7929
977,CJ Richards,0.7928
977,JC Tredwell,0.7928
979,Mudassar Bukhari,0.7924
980,MS Kasprowicz,0.7906
981,Fareed Ahmad,0.7901
982,MH Dekker,0.7887
983,C Carter,0.7871
984,JE Taylor,0.787
985,JN Gillespie,0.7856
986,KA Maharaj,0.7826
987,GD Drummond,0.7823
988,HMCM Bandara,0.7811
989,LV van Beek,0.7806
990,RDB Croft,0.7793
991,PM Siddle,0.779
992,B Mavuta,0.7786
993,RJ Trott,0.7761
994,Khaled Mahmud,0.7753
995,B Kumar,0.7738
996,MG Hughes,0.7737
997,PE McEwan,0.773
998,KD Mills,0.7718
999,JK Kamande,0.7717
1000,CR Matthews,0.7713
1001,M Shumba,0.7708
1002,SCJ Broad,0.7707
1003,Waqas Barkat,0.7703
1004,CPL Connolly,0.77
1005,AM Ellis,0.7697
1006,T Thushara,0.7693
1007,SC Joseph,0.7678
1008,B Evans,0.7663
1009,NN Odhiambo,0.7646
1010,RA Reifer,0.7645
1010,FA Rose,0.7645
1012,Kaleem Sana,0.7632
1013,Sanuar Hossain,0.7631
1014,BB Chari,0.7621
1015,Ehsan Khan,0.7616
1016,G Coetzee,0.7605
1017,SMSM Senanayake,0.7599
1018,AR Odedara,0.7576
1019,Wahab Riaz,0.755
1019,NAM McLean,0.755
1021,SP Narine,0.7547
1022,RN Lewis,0.7541
1023,IS Sodhi,0.7535
1024,C Zhuwao,0.7532
1025,RJ Sidebottom,0.7531
1026,KOK Williams,0.753
1027,RJ Bright,0.7521
1028,JR Hazlewood,0.751
1029,J Srinath,0.7501
1030,Akhil Kumar,0.749
1031,JS Patel,0.7482
1032,WKM Benjamin,0.7478
1033,HN Ya France,0.7476
1034,Arafat Sunny,0.7471
1035,MJ Henry,0.747
1036,Shaheen Shah Afridi,0.7464
1037,MC Snedden,0.7462
1038,DG Cork,0.746
1040,G Miller,0.7455
1040,Shariz Ahmad,0.7455
1040,A Dananjaya,0.7455
1042,Arshad Ayub,0.7442
1043,MA Ouma,0.7421
1044,NM Odhiambo,0.742
1045,MR Gillespie,0.7415
1046,Ahmed Raza,0.7414
1047,Mohammad Wasim (1),0.7403
1048,Z Khan,0.7389
1049,AF Milne,0.7374
1050,TMK Mawoyo,0.7372
1051,EJ Gray,0.737
1052,DR Tuffey,0.7363
1053,R Klein,0.7358
1054,SJ Benn,0.7347
1055,MP Maynard,0.7343
1056,Mushfiqur Rahman,0.7337
1057,RK Illingworth,0.7335
1057,A Kumble,0.7335
1059,P Utseya,0.7319
1060,MP Bicknell,0.7303
1061,GJ Hopkins,0.7282
1062,AR Kapoor,0.7267
1063,HAPW Jayawardene,0.7266
1064,BJ Currie,0.7265
1065,N Madziva,0.7252
1065,IR Bishop,0.7252
1067,BM Scholtz,0.7247
1068,Farhad Reza,0.7246
1069,Mohammad Amir,0.7244
1070,GR Dilley,0.7233
1071,DC Thomas,0.7212
1072,Mujeeb Ur Rahman,0.7206
1073,TR Gripper,0.7195
1074,TA Boult,0.7194
1075,D Gough,0.7185
1076,PS de Villiers,0.718
1077,JH Stander,0.7174
1078,Sohail Khan,0.7132
1079,Hamid Hassan,0.7129
1080,KV Morea,0.7128
1080,D Bishoo,0.7128
1082,JNT Vare,0.7108
1083,PH Edmonds,0.71
1083,BJ McCarthy,0.71
1085,A Nel,0.7094
1086,EA Brandes,0.7093
1087,JB Little,0.7056
1088,JDF Vandersay,0.7054
1089,ML Nkala,0.705
1090,A Dutt,0.7046
1091,J Jarvis,0.7042
1092,CN Evans,0.7026
1093,S Randiv,0.702
1094,TJ Murtagh,0.7018
1095,NT Ellis,0.7016
1096,DNT Zoysa,0.7008
1097,BV Vitori,0.7006
1098,Tapash Baisya,0.6998
1099,K Klein,0.6993
1100,XJ Doherty,0.6991
1101,BC Fortuin,0.6968
1102,TL Best,0.6967
1103,RW Taylor,0.6963
1104,Jasdeep Singh,0.6962
1105,CEL Ambrose,0.6959
1106,M Kartik,0.6953
1107,S Lamichhane,0.6941
1108,Junaid Siddiqui,0.6906
1109,Kaleemullah,0.6898
1110,M Muralidaran,0.6892
1111,KW Richardson,0.6877
1112,Hasan Mahmud,0.6876
1113,Noor Ahmad,0.6872
1113,SO Ngoche,0.6872
1115,T Lungameni,0.6866
1116,Naseem Shah,0.686
1117,CAK Walton,0.6858
1118,RM Ellison,0.6856
1119,JA Duffy,0.6849
1120,HS Baidwan,0.6839
1121,M Morkel,0.6837
1122,A Mishra,0.6834
1123,CJ McDermott,0.6824
1124,RMS Eranga,0.6818
1125,KAJ Roach,0.6816
1126,R Rampaul,0.6804
1127,R Hekure,0.6784
1128,Sharafuddin Ashraf,0.6772
1129,G Goudie,0.6761
1130,NW Bracken,0.6752
1131,Haris Rauf,0.6747
1132,Umar Gul,0.673
1133,NA Foster,0.6719
1134,PR Adams,0.6714
1135,NB Mahwire,0.671
1136,DH Brain,0.6709
1137,SJ Harmison,0.6704
1138,BW Hilfenhaus,0.6702
1139,Waqar Younis,0.6699
1140,DI Allan,0.6673
1141,JA Rennie,0.6672
1142,T Maruma,0.6671
1143,MN Hart,0.6667
1144,SW Masakadza,0.6664
1145,AR Caddick,0.6656
1145,Shoriful Islam,0.6656
1147,R Ngarava,0.6655
1148,Saqlain Mushtaq,0.6642
1149,PP Ojha,0.664
1150,TBA May,0.6615
1151,C Pringle,0.6614
1152,WP Masakadza,0.661
1153,Mohammad Sami,0.6592
1154,RJW Topley,0.6588
1155,Abdur Rehman,0.6586
1156,SE Bond,0.658
1157,P Sarraf,0.6553
1158,Tushar Imran,0.6538
1159,Enamul Haque,0.6523
1160,Abdur Razzak,0.649
1161,Shoaib Akhtar,0.6471
1162,KCG Benjamin,0.6457
1163,D Williams,0.6449
1164,FL Reifer,0.6443
1165,UT Yadav,0.6428
1166,M Ntini,0.6413
1167,OP Stone,0.6383
1168,Imran Tahir,0.6367
1168,AG Cremer,0.6367
1170,Mushtaq Ahmed,0.636
1171,VB John,0.6347
1172,EE Hemmings,0.6343
1173,Taijul Islam,0.6336
1174,RGD Willis,0.6335
1175,KP Meiyappan,0.6334
1176,SK Atai,0.6314
1177,GC Small,0.6309
1178,GP Wickramasinghe,0.6304
1178,TS Chisoro,0.6304
1180,PA van Meekeren,0.6297
1181,Taskin Ahmed,0.629
1182,Arshdeep Singh,0.6284
1183,DA Stirling,0.6282
1184,Mohammad Sharif,0.6208
1185,SN Netravalkar,0.6196
1185,DK Liyanage,0.6196
1187,S Mahmood,0.6174
1188,Saeed Ajmal,0.6154
1189,JNT Seales,0.6122
1190,ARC Fraser,0.6049
1191,DE Bollinger,0.6003
1191,KM Jarvis,0.6003
1193,LS Pascoe,0.5996
1194,SL Malinga,0.5985
1195,CA Young,0.5979
1196,DG Brownlie,0.5977
1197,KR Pushpakumara,0.5972
1198,PJ Ongondo,0.597
1199,KJ Abbott,0.5963
1200,GE Bradburn,0.5962
1201,ST Finn,0.5945
1202,BTJ Wheal,0.5928
1203,M Theekshana,0.5925
1204,Muhammad Jawadullah,0.5904
1205,D Ravu,0.5888
1206,Kuldeep Yadav,0.5832
1207,MVT Fernando,0.5831
1208,CB Sole,0.5821
1209,VM Nyauchi,0.5812
1210,CPH Ramanayake,0.5796
1211,RK Chauhan,0.5783
1212,CT Tremlett,0.5773
1213,DW Steyn,0.5769
1214,WB Rankin,0.5763
1215,Junaid Khan,0.5758
1216,CA Walsh,0.5744
1217,BC Strang,0.5728
1218,PW Jarvis,0.5723
1219,A Zampa,0.5705
1220,Mohammed Shami,0.5703
1221,PJ Martin,0.5701
1222,RP Singh,0.5686
1223,DW Headley,0.568
1224,GH O'Brien,0.5679
1225,BA Murphy,0.5632
1226,MM Patel,0.563
1227,TL Chivanga,0.5624
1228,L Ngidi,0.5617
1229,JM Anderson,0.5613
1230,SNJ O'Keefe,0.561
1231,M Dillon,0.5607
1232,Amir Hamza,0.5587
1233,SS Cottrell,0.5567
1234,AO Suji,0.5558
1235,CAK Rajitha,0.5554
1236,FJ Klaassen,0.5545
1237,HMRKB Herath,0.5515
1238,Ali Khan,0.5512
1239,CRD Fernando,0.5502
1240,HGV Vare,0.547
1241,JK Lever,0.5463
1242,IG Butler,0.5434
1243,SW Tait,0.5348
1244,GB Brent,0.5339
1245,PADLR Sandakan,0.5312
1246,N Pokana,0.5305
1247,Danish Kaneria,0.5304
1248,EJ Chatfield,0.5302
1250,PCR Tufnell,0.5289
1250,DBL Powell,0.5289
1250,Naveen-ul-Haq,0.5289
1252,KSC de Silva,0.5279
1252,CT Mumba,0.5279
1254,Aaqib Javed,0.5277
1255,BAW Mendis,0.5269
1256,Shafiul Islam,0.5267
1257,PJW Allott,0.5257
1258,BP Patterson,0.5245
1259,GJ Batty,0.5244
1260,DT Hondo,0.524
1261,DK Morrison,0.5208
1262,MJ Humphreys,0.5197
1263,Shahadat Hossain,0.5194
1264,BKV Prasad,0.5182
1265,ML Su'a,0.5173
1266,AR Whittall,0.5158
1267,TL Chatara,0.5151
1268,PVD Chameera,0.5141
1269,H Osinde,0.5136
1270,RAS Lakmal,0.5118
1271,Arshad Khan,0.5066
1272,OEG Baartman,0.5065
1273,S Sreesanth,0.5019
1274,Sajid Khan,0.5016
1275,LH Ferguson,0.5012
1276,NP Kenjige,0.4968
1277,FH Edwards,0.4945
1278,Ata-ur-Rehman,0.4925
1279,Nadeem Ahmed,0.4914
1280,DE Malcolm,0.49
1281,JJC Lawson,0.4886
1282,Imran Khan,0.4876
1283,T Gwandu,0.4859
1284,B Muzarabani,0.4847
1285,Abrar Ahmed,0.4802
1286,Mustafizur Rahman,0.4799
1287,RD Jackman,0.4781
1288,CD Collymore,0.4771
1289,AA Donald,0.4752
1290,RW Price,0.474
1291,BD Glover,0.4733
1292,A Nortje,0.4704
1293,HK Olonga,0.4694
1294,GD McGrath,0.4693
1295,Rubel Hossain,0.4667
1296,J Nyumbu,0.466
1297,A Nehra,0.4631
1298,PT Collins,0.4617
1299,PKD Chase,0.4606
1300,Rahat Ali,0.4582
1301,W Watson,0.4578
1302,AD Mullally,0.4557
1303,I Sharma,0.4527
1304,Mohammed Siraj,0.4516
1305,N Pradeep,0.4509
1306,MR Whitney,0.4483
1307,NG Cowans,0.4451
1308,JJ Bumrah,0.4431
1309,YS Chahal,0.4428
1310,Syed Rasel,0.4412
1311,MJ Hoggard,0.4403
1312,JW Dernbach,0.4398
1313,CB Mpofu,0.4341
1314,Al-Amin Hossain,0.4334
1315,HT Davis,0.4306
1316,M Hayward,0.4237
1317,Shapoor Zadran,0.4203
1318,Zahoor Khan,0.4185
1319,CBRLS Kumara,0.4179
1320,Talha Jubair,0.4161
1321,AJ Traicos,0.4128
1322,AC Evans,0.4056
1323,T Shamsi,0.4055
1324,Enamul Haque jnr,0.4014
1325,MS Panesar,0.3958
1326,Mohammad Asif,0.3943
1327,E Otieno,0.3894
1328,CE Cuffy,0.389
1329,PDRL Perera,0.3872
1330,Manjural Islam,0.3844
1331,ST Gabriel,0.3835
1332,Yamin Ahmadzai,0.3822
1333,Mohammad Akram,0.3805
1334,Shabbir Ahmed,0.3799
1335,RD King,0.3788
1336,BA Reid,0.3764
1337,Bilal Khan,0.3617
1338,Fazalhaq Farooqi,0.3608
1339,CG Rackemann,0.3555
1340,Aftab Alam,0.349
1341,SB O'Connor,0.346
1342,M Mbangwa,0.342
1343,LN Rajbanshi,0.3372
1344,O Thomas,0.331
1345,EZ Matambanadzo,0.3273
1346,M Pathirana,0.3149
1347,M Hendrick,0.3123
1348,SI Kamea,0.2948
1349,Ebadot Hossain,0.292
1350,GI Allott,0.2829
1351,AM Fernando,0.2766
1352,VJ Kingma,0.2757
1353,CS Martin,0.2609
1354,M Prasidh Krishna,0.1839
